id,titulo,inicio,fin,todo_el_dia,calendario,color_id,color_nombre,etiqueta,color_hex,usa_color_predeterminado,color,telefono,nombre,pendiente,cotizacion,p,requerimiento,notas,descripcion,ubicacion
0s9lsm2eplaui0bceotk2ra3t4,ESTRIBOS  K3000 1 CAB. 2027 ORDEN 0993 DIA 10,2026-08-08T01:00:00-04:00,2026-08-08T02:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
2glp6fvmcpjcujjkd72ljve3e9,ESTRIBOS TOWN ACE 2020 ORDEN 1003 DIA 12,2026-08-08T02:00:00-04:00,2026-08-08T03:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
5adenqk2gv2rk9jq8d8j1h5t30,ESTRIBOS  NV200 JAPONESA 2020 ORDEN 1004 DIA 13 ,2026-08-08T03:00:00-04:00,2026-08-08T04:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
5s8fkb2rgl8nqor10hveaaiom0,FRENTE TOWN ACE 2020 ORDEN 1011 DIA 20,2026-08-11T07:30:00-04:00,2026-08-11T08:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
3ct3r9jt61dtj9r3v42klobbh9,FRENTE TOWN ACE 2021 ORDEN 1708 DIA 17,2026-08-11T08:30:00-04:00,2026-08-11T09:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
79eucvs7p2nm52uv0fdj3qm0j2,FRENTE K2700 DOBLE CAB. 2026 ORDEN 1015 DIA 19,2026-08-12T08:30:00-04:00,2026-08-12T09:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
3ntsprj97fo6dnpf3ephqn9njm,FRENTE+PORTA PIES MAZDA BONGO 1 CAB. 2020 OEDEN 1016 DIA 17,2026-08-12T09:30:00-04:00,2026-08-12T10:30:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
5kd0rtu1g0i0d3gd2c1l6gb6pb,FRENTE TOWN ACE 2021 ORDEN 1018 DIA 21,2026-08-13T09:45:00-04:00,2026-08-13T10:45:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
414afupe4k0ifgtqbsljqhmfb1,TRASERA TOWN ACE ORDEN 5005,2026-08-14T00:00:00-04:00,2026-08-14T01:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
43a73oulp9o9jrlb8qfsbi87sh,TRASERA  TOWN ACE 2019 ORDEN 1022 DIA 22,2026-08-14T01:00:00-04:00,2026-08-14T02:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
52ph91ga1d9kaa8f3um5jce6q3,TRASERA TOWN ACE 2021 ORDEN 1018 DIA 21,2026-08-14T02:00:00-04:00,2026-08-14T03:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
03l43tk1icvb2bgnr2epodsuoh,TRASERA TOWN ACE 2020 ORDEN 1024 DIA 24,2026-08-19T01:00:00-04:00,2026-08-19T02:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
206ufkh4jjd3doo3quungprb1e,ESTRIBOS TOWN ACE 2020 ORDEN 1024 DIA 24,2026-08-19T02:00:00-04:00,2026-08-19T03:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
1ccc6uq5cq5shbvaervm07hmru,ESTRIBOS TOWN ACE ORDEN 5005,2026-08-19T03:00:00-04:00,2026-08-19T04:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
76fnbvrld4krb6sfit0gfi3d8q,TRASERA  NV200 JAPONESA 2021 ORDEN 1033 DIA 26,2026-08-19T04:00:00-04:00,2026-08-19T05:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
6niajnclgs9pgbkpkhhp5tpbj7,ESTRIBOS  NV200 JAPONESA 2021 ORDEN 1033 DIA 26,2026-08-19T05:00:00-04:00,2026-08-19T06:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
65dqq8ebcaevpkd82p055c2jat,ESTRIBOS K2700 DOBLE CAB. 2 GOMAS ATRAS 2026 ORDEN 1015 DIA 19,2026-08-19T06:00:00-04:00,2026-08-19T07:00:00-04:00,No,PUESTO 3 ARMADOR,17,Otro,NONE,#9a9cff,Si,,,,,,,,,,
